index,scientific name,common name
1,Phylum Porifera,sponges
2,Cyphastrea agassizi,lesser knob coral
3,Cyphastrea ocellina,ocellated coral 
4,Lobactis scutaria,mushroom coral
5,Gardineroseris planulata,honyecomb coral
6,Leptoseris incrustans,encrusting coral
7,Montipora capitata,rice coral
8,Montipora flabellata,blue rice coral
9,Montipora patula,ringed rice coral
10,Pavona duerdeni,porkchop coral
11,Pavona varians,corrugated coral
12,Pocillopora damicornis,lace coral
13,Pocillopora grandis,antler coral
14,Pocillopora meandrina,cauliflower coral
15,Porites compressa,finger coral
16,Porites evermanni,brown lobe coral
17,Porites lobata,lobe coral
18,Porites monticulosa,lump coral
19,Tubastraea coccinea,orange cup coral
20,Palythoa caesia,sea mat coral
21,Zoanthus sp.,button polyps
22,Phylum Platyhelminthes,flatworm
23,Eurythoe complanata,Iridescent fireworm
24,Loimia medusa,spaghetti worm
25,Sabellastarte spectabilis,feather worm duster
26,Spirobranchus corniculatus, Indo-Pacific Christmas tree worm
27,Conus sp.,cone snails
28,Monetaria caputophidii, Snake's Head Cowry
29,Cypraea tigris,tiger cowry
30,Hexabranchus spp.,sea slugs
31,Morula sp.,marine snail
32,Drupa sp.,gastropod
33,Octopus sp.,Octopus vulgaris
34,Carpilius maculatus,spotted reef crab
35,Family Diogenidae,left handed hermit crabs
36,Panulirus marginatus,Hawaiian spiny lobster
37,Panulirus penicillatus,pronghorn spiny lobster
38,Parribacus antarcticus,Sculptured Slipper Lobster
39,Stenopus hispidus,banded coral shrimp
40,Acanthaster planci,crown-of-thorns starfish
41,Culcita novaeguineae,cushion star
42,Linckia multifora,multicolor sea star
43,Ophiocoma sp.,serpent star
44,Actinopyga mauritiana,surf redfish
45,Actinopyga obesa,Plump sea cucumber
46,Holothuria atra,black sea cucumber
47,Holothuria whitmaei,black teatfish
48,Opheodesoma spectabilis,conspicuous sea cucumber
49,Colobocentrotus atratus,shingle urchin
50,Diadema paucispinum,long-spined sea urchin
51,Echinothrix spp.,banded sea urchin
52,Echinometra mathaei,the burrowing urchin
53,Echinometra oblonga,oblong urchin
54,Heterocentrotus mammillatus,slate pencil urchin
55,Chondrocidaris gigantea,rough-spined urchin
56,Tripneustes gratilla,the collector urchin
57,Phylum Chordata,vertebrates